"Genome","Substrates","n","Species"
"H12_NM75","ulvan",1,"MB"
"H12_NM75","xylan",26,"MB"
"H12_NM75","xyloglucan",20,"MB"
"H4_NM65","agarose",1,"MB"
"H4_NM65","alkaloid",3,"MB"
"H4_NM65","alpha-galactan",6,"MB"
"H4_NM65","alpha-glucan",13,"MB"
"H4_NM65","alpha-mannan",12,"MB"
"H4_NM65","arabinan",42,"MB"
"H4_NM65","arabinogalactan protein",33,"MB"
"H4_NM65","beta-fucosides",2,"MB"
"H4_NM65","beta-galactan",32,"MB"
"H4_NM65","beta-glucan",26,"MB"
"H4_NM65","beta-glucuronan",9,"MB"
"H4_NM65","beta-mannan",7,"MB"
"H4_NM65","carrageenan",3,"MB"
"H4_NM65","cellulose",2,"MB"
"H4_NM65","chitin",12,"MB"
"H4_NM65","chitosan",9,"MB"
"H4_NM65","exo-polysaccharide",1,"MB"
"H4_NM65","fructan",1,"MB"
"H4_NM65","glucosylglycerate",7,"MB"
"H4_NM65","glucosylglycerol",7,"MB"
"H4_NM65","glycogen",9,"MB"
"H4_NM65","host glycan",28,"MB"
"H4_NM65","pectin",14,"MB"
"H4_NM65","peptidoglycan",15,"MB"
"H4_NM65","polyphenol",11,"MB"
"H4_NM65","porphyran",1,"MB"
"H4_NM65","starch",14,"MB"
"H4_NM65","sucrose",12,"MB"
"H4_NM65","trehalose",7,"MB"
"H4_NM65","ulvan",1,"MB"
"H4_NM65","xylan",53,"MB"
"H4_NM65","xyloglucan",14,"MB"
"H4_NM65",NA,1,"MB"
