#SampleID	forward-absolute-filepath	reverse-absolute-filepath	samplename	name	location	experimenter
DP116_S116_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP116_S116_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP116_S116_L001_R2_001.fastq.gz	Se_C3M2_D0_M	DP116	Plate2_B3	Deanna
DP117_S117_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP117_S117_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP117_S117_L001_R2_001.fastq.gz	Se_C2M2_D1_M	DP117	Plate2_C3	Deanna
DP118_S118_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP118_S118_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP118_S118_L001_R2_001.fastq.gz	Se_C2M1_D2_N	DP118	Plate2_D3	Deanna
DP120_S120_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP120_S120_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP120_S120_L001_R2_001.fastq.gz	Se_C2M1_D3_C	DP120	Plate2_F3	Deanna
DP121_S121_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP121_S121_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP121_S121_L001_R2_001.fastq.gz	Am_C4M2_Dx28	DP121	Plate2_G3	Deanna
DP122_S122_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP122_S122_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP122_S122_L001_R2_001.fastq.gz	Am_C2M1_D3	DP122	Plate2_H3	Deanna
DP123_S123_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP123_S123_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP123_S123_L001_R2_001.fastq.gz	Am_C2M3_D21	DP123	Plate2_A4	Deanna
DP124_S124_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP124_S124_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP124_S124_L001_R2_001.fastq.gz	Se_C4M1_D0_M	DP124	Plate2_B4	Deanna
DP125_S125_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP125_S125_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP125_S125_L001_R2_001.fastq.gz	Se_C3M1_D1_M	DP125	Plate2_C4	Deanna
DP126_S126_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP126_S126_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP126_S126_L001_R2_001.fastq.gz	Se_C1M2_D2_M	DP126	Plate2_D4	Deanna
